End Time, Language, XP, Type, Skill-ID, Location, Device,Mistakes,Toggl Start date,Toggl Start time,Toggl End date,Toggl End time,Toggl Duration,Duolingo End date,Duolingo End time,Duration,Hour,Time Of Day,Day of Week,Weekday,Duration in Minutes,Day of Month
1571635493,Portuguese,15,LESSON,34984b608b9c7ea9ecffa7e25c9a593b,Bed,Phone,1,10/21/19,7:22:02 AM,10/21/19,7:24:56,0:02:54,10/21/19,7:24:53 AM,0:02:51,7,Morning,Monday,Weekday,2.85,21
1571697733,Swedish,12,LESSON,573bfdf6521cceff44eb0af4f3aa1ccd,Bed,Phone,2,10/22/19,12:41:00 AM,10/22/19,0:42:00,0:01:00,10/22/19,12:42:13 AM,0:01:13,0,Night,Tuesday,Weekday,1.22,22
1571697945,Swedish,15,LESSON,d346959d48635ff16fce7b7071ac6270,Bed,Phone,1,10/22/19,12:44:21 AM,10/22/19,0:45:50,0:01:29,10/22/19,12:45:45 AM,0:01:24,0,Night,Tuesday,Weekday,1.40,22
1571745151,Swedish,13,LESSON,eaef3db2ab9e58d74d636879532400fb,Desk,Phone,1,10/22/19,1:51:00 PM,10/22/19,13:52:34,0:01:34,10/22/19,1:52:31 PM,0:01:31,13,Afternoon,Tuesday,Weekday,1.52,22
1571745270,Swedish,20,LESSON,573bfdf6521cceff44eb0af4f3aa1ccd,Desk,Phone,1,10/22/19,1:52:58 PM,10/22/19,13:54:34,0:01:36,10/22/19,1:54:30 PM,0:01:32,13,Afternoon,Tuesday,Weekday,1.53,22
1571745383,Swedish,14,LESSON,d346959d48635ff16fce7b7071ac6270,Desk,Phone,1,10/22/19,1:54:51 PM,10/22/19,13:56:27,0:01:36,10/22/19,1:56:23 PM,0:01:32,13,Afternoon,Tuesday,Weekday,1.53,22
1571745474,Swedish,15,LESSON,84eccf163a429f6b4e1d60f7ac30dd6d,Desk,Phone,0,10/22/19,1:56:50 PM,10/22/19,13:57:58,0:01:08,10/22/19,1:57:54 PM,0:01:04,13,Afternoon,Tuesday,Weekday,1.07,22
1571745700,Swedish,20,LESSON,418290b3544f47f513093fb974dd7167,Desk,Phone,0,10/22/19,1:58:31 PM,10/22/19,14:01:44,0:03:13,10/22/19,2:01:40 PM,0:03:09,13,Afternoon,Tuesday,Weekday,3.15,22
1571856450,Portuguese,13,LESSON,db7c97439e88f3af67b297acf5b564a7,Desk,Laptop,1,10/23/19,8:44:02 PM,10/23/19,20:47:35,0:03:33,10/23/19,8:47:30 PM,0:03:28,20,Afternoon,Wednesday,Weekday,3.47,23
1571856699,Portuguese,13,LESSON,db7c97439e88f3af67b297acf5b564a7,Desk,Laptop,2,10/23/19,8:47:57 PM,10/23/19,20:51:44,0:03:47,10/23/19,8:51:39 PM,0:03:42,20,Afternoon,Wednesday,Weekday,3.70,23
1571856934,Portuguese,13,LESSON,34984b608b9c7ea9ecffa7e25c9a593b,Desk,Laptop,1,10/23/19,8:52:32 PM,10/23/19,20:55:38,0:03:06,10/23/19,8:55:34 PM,0:03:02,20,Afternoon,Wednesday,Weekday,3.03,23
1571857112,Portuguese,13,LESSON,34984b608b9c7ea9ecffa7e25c9a593b,Desk,Laptop,2,10/23/19,8:55:57 PM,10/23/19,20:58:36,0:02:39,10/23/19,8:58:32 PM,0:02:35,20,Afternoon,Wednesday,Weekday,2.58,23
1571896650,Portuguese,12,LESSON,db7c97439e88f3af67b297acf5b564a7,Lisa,Phone,2,10/24/19,7:54:10 AM,10/24/19,7:57:34,0:03:24,10/24/19,7:57:30 AM,0:03:20,7,Morning,Thursday,Weekday,3.33,24
1571935935,Portuguese,12,LESSON,34984b608b9c7ea9ecffa7e25c9a593b,Library,Phone,4,10/24/19,6:48:02 PM,10/24/19,18:52:20,0:04:18,10/24/19,6:52:15 PM,0:04:13,18,Afternoon,Thursday,Weekday,4.22,24
1571936128,Portuguese,15,LESSON,34984b608b9c7ea9ecffa7e25c9a593b,Library,Phone,0,10/24/19,6:53:38 PM,10/24/19,18:55:34,0:01:56,10/24/19,6:55:28 PM,0:01:50,18,Afternoon,Thursday,Weekday,1.83,24
1571936296,Portuguese,10,PRACTICE,,Library,Phone,0,10/24/19,6:56:15 PM,10/24/19,18:58:26,0:02:11,10/24/19,6:58:16 PM,0:02:01,18,Afternoon,Thursday,Weekday,2.02,24
1571936475,Portuguese,20,LESSON,f4084dbe49500b91db7b1088e540ccc0,Library,Phone,1,10/24/19,6:59:00 PM,10/24/19,19:01:00,0:02:00,10/24/19,7:01:15 PM,0:02:15,18,Afternoon,Thursday,Weekday,2.25,24
1571989484,Portuguese,14,LESSON,34984b608b9c7ea9ecffa7e25c9a593b,Desk,Laptop,2,10/25/19,9:41:50 AM,10/25/19,9:44:49,0:02:59,10/25/19,9:44:44 AM,0:02:54,9,Morning,Friday,Weekday,2.90,25
1571989574,Swedish,15,LESSON,418290b3544f47f513093fb974dd7167,Desk,Laptop,0,10/25/19,9:45:32 AM,10/25/19,9:46:17,0:00:45,10/25/19,9:46:14 AM,0:00:42,9,Morning,Friday,Weekday,0.70,25
1571989685,Swedish,12,LESSON,84eccf163a429f6b4e1d60f7ac30dd6d,Desk,Laptop,2,10/25/19,9:46:42 AM,10/25/19,9:48:08,0:01:26,10/25/19,9:48:05 AM,0:01:23,9,Morning,Friday,Weekday,1.38,25
1571989949,Portuguese,14,LESSON,34984b608b9c7ea9ecffa7e25c9a593b,Desk,Laptop,3,10/25/19,9:48:44 AM,10/25/19,9:52:33,0:03:49,10/25/19,9:52:29 AM,0:03:45,9,Morning,Friday,Weekday,3.75,25
